"Organisation ID","Organisation name",Website,"Short description","Long description",Country,Region,Latitude,Longitude,Address,"Organisation type","Organisation size","Start date","Linked project IDs",Tags,"Network tags",Created
703,SocialTech,,,,Netherlands,Amsterdam,52.3745403,4.8979755,"Herengracht 124,
1015BT","Social enterprise, charity, foundation or other non-profit","0-5 people",,512,,,1970-01-01
975,"Society for General Microbiology",,,,"United Kingdom",London,51.5073219,-0.1276473,"12 Roger Street,
WC1N 2JU","Social enterprise, charity, foundation or other non-profit","26-50 people",,,,,1970-01-01
422,Sometu,,,,Finland,Helsinki,60.1674086,24.9425683,"Annankatu 9,
120","Grassroots organisation or community network","0-5 people",,429,,,1970-01-01
582,"Somos Mas Europa",,,,Spain,Madrid,40.4167047,-3.7035824,"Calle Gobernador 26,
","Social enterprise, charity, foundation or other non-profit","0-5 people",,437,,,1970-01-01
522,Soundtrackcity,,,,Netherlands,Amsterdam,52.3745403,4.8979755,"Veemkade 584,
1019 BL","Social enterprise, charity, foundation or other non-profit","0-5 people",,560,,,1970-01-01
630,"Soup Dragon",,,,"United Kingdom","Hebden Bridge",53.7407227,-2.0093752,"Holme St,
","Grassroots organisation or community network","0-5 people",,,,,1970-01-01
1247,"Sozialforschungsstelle Dortmund | TU Dortmund",http://www.sfs.tu-dortmund.de/cms/de/Aktuelles/,,,,,,,,"Academia/Research organisation","51-100 people",,,,,2017-02-13
343,"SOZIALHELDEN e.V.",,,,Germany,Berlin,52.5170365,13.3888599,"Andreasstrasse 10,
10243","Social enterprise, charity, foundation or other non-profit","6-10 people",,12,,,1970-01-01
104,"Sparta  Digital",,,,"United Kingdom",Manchester,53.4791301,-2.2441008,"65 High Street,
M4 1FS","For-profit business","6-10 people",,34,,,1970-01-01
1257,"Spiel Creative",https://www.spielcreative.com/,"Spiel productions are renowned for their stimulating videos – used by businesses for internal communications and promotions.","<p>We are Spiel Creative. We specialise in animated video, creating vivid content campaigns that cut through the noise. We want bring your story to life through inspiration, expertise and the latest insights in video and content marketing.</p>
<p><br />Based in London, our creative team is frank, friendly and business savvy. We&rsquo;d love to hear from you!</p>","United Kingdom",London,51.5073219,-0.1276473,,"For-profit business","26-50 people",2004-09-01,,"animation company, organisation design, video",animation,2017-02-23
1145,Sponge,,,,Romania,Bucharest,44.4361414,26.1027202,"Calea Plevnei 98,
10237","Grassroots organisation or community network","6-10 people",,124,,,1970-01-01
541,"SRB Burgerradio",,,,,,,,",
",,,,,,,1970-01-01
1126,"Stadtverwaltung Saalfeld",,,,Germany,"07318 Saalfeld",50.6459064,11.3610925,"Markt 6,
7318","Government/Public Sector","101-500 people",,234,,,1970-01-01
1242,Stampery,https://stampery.com,"Leaders in blockchain-based timestamping and security solutions.","<section class=""hero auto"">
<div class=""text"">
<p>We leverage blockchain technology to ensure existence, integrity and attribution of communications, processes and data important for your organization.</p>
</div>
</section>",Spain,Madrid,40.4167047,-3.7035824,,"For-profit business","0-5 people",2015-07-10,,"bitcoin, blockchain, cybersecurity, ethereum, Technopolitics",W3C,2017-02-09
1144,Stample,,,,,,,,",
",,,,568,,,1970-01-01
915,"Standby Task Force",,,,"United Kingdom","Hayling Island",50.8056117,-0.9800526,"Seafront,
PO110AD","Grassroots organisation or community network","0-5 people",,,,,1970-01-01
1135,"Starting Point Community Learning Partnership",,,,"United Kingdom",Stockport,53.407901,-2.1602429,"4 Woodley Precinct,
Sk61rj","Social enterprise, charity, foundation or other non-profit","0-5 people",,152,,,1970-01-01
1140,Stickyboard,,,,"United Kingdom",London,51.5073219,-0.1276473,"34b York Way,
N1 9AB","Social enterprise, charity, foundation or other non-profit","0-5 people",,539,,,1970-01-01
459,"Stirchley Happenings",,,,"United Kingdom","Stirchley, Birmingham",52.4293992,-1.920346,"35 Bond Street,
B30 2LB","Grassroots organisation or community network","0-5 people",,360,,,1970-01-01
98,"Stockport Homes",,,,,,,,",
",,,,,,,1970-01-01
162,"Stoke Newington Literary Festival",,,,"United Kingdom",London,51.5073219,-0.1276473,"184 Stoke Newington Church Street,
N16 0JS","Grassroots organisation or community network","0-5 people",,,,,1970-01-01
425,Streetbank,,,,"United Kingdom",London,51.5073219,-0.1276473,"South Park Studios, 88 Peterborough Road,
SW6 3HH","Social enterprise, charity, foundation or other non-profit","0-5 people",,"152, 331",,,1970-01-01
437,streetclub,,,,"United Kingdom","chandler's ford",50.9836729,-1.3783494,"chestnut avenue,
SO533LE","For-profit business","0-5 people",,331,,,1970-01-01
712,"Stroudco Food Hub",,,,,,,,",
",,,,,,,1970-01-01
743,"Studio Kappa",,,,Italy,Asti,44.900542,8.2068876,"Via Duca dAosta 14,
14100",,,,,,,1970-01-01
741,"Studio Walden",,,,Netherlands,Heerlen,50.8762773,5.9827952,"Kloosterweg 1,
6416CR","For-profit business","0-5 people",,,,,1970-01-01
1111,"Studios Singuliers",,,,France,75018,-31.3732227,-64.2086739,"46 rue Rene Clair,
75892","Academia/Research organisation","0-5 people",,467,,,1970-01-01
877,SU-RD,,,,Canada,Quebec,54,-71.9999999,"24, rue Saint-Joseph,
G1k 3a9","Grassroots organisation or community network","11-25 people",,,,,1970-01-01
1224,"Super Global",http://superglobal.io,"We connect tech for good projects with creative technology experts around the world.",,"United Kingdom",London,51.5073219,-0.1276473,,"Social enterprise, charity, foundation or other non-profit","0-5 people",2016-10-03,,,,2017-01-05
1208,"SUPSI Interaction Design Lab",http://www.supsi.ch/lcv,"SUPSI IDLab researches and develops educational models that explore the convergence of technology and design via prototyping, the integration of bottom-up innovation models and community-driven approaches in design research and education.","<p class=""p1"">The Laboratory of Visual Culture/Interaction Design Lab&nbsp;is the design research unit of SUPSI, the University of Applied Sciences and Arts of Southern Switzerland. The laboratory applies interactive design methods and a human-centred design perspective to develop research projects focusing on people's experiences mediated by the internet and digital technologies. LCV IDLab leads social innovation projects related to environmental sustainability and energy consumption, and international programs on interaction design, physical computing, open design, DIY electronics, digital fabrication, data visualisation, interactive cinema and computational design.</p>",Switzerland,Lugano,46.0050102,8.9520281,,"Academia/Research organisation","11-25 people",2008-11-01,"369, 740, 820","Creative technology, Design research, digital design, digital fabrication, fablab, Interaction design","FabLab Network, Swiss Design Network, Swiss FabLab Network",2016-11-22
419,"Surrey Centre for the Digital Economy",,,,"United Kingdom",Guildford,51.237195,-0.5811778,"Surrey Business School,
","Academia/Research organisation","over-1000 people",,,,,1970-01-01
308,Swirrl,,,,"United Kingdom",Manchester,53.4791301,-2.2441008,"20 Dale Street,
M1 1EZ","For-profit business","0-5 people",,"231, 369, 636, 720",,,1970-01-01
256,"Syl Community Construct",,,,Belgium,Petit-Enghien,50.6899321,4.0845939,"Chaussee de Bruxelles 429,
7850",,,,,,,1970-01-01
998,Symba,,,,France,Millemont,48.8096764,1.7463039,"Domaine du Chateau de Millemont,
78940","Grassroots organisation or community network","0-5 people",,664,,,1970-01-01
631,Sync,,,,"United Kingdom",Glasgow,55.856656,-4.2435816,"60 Osborne St,
G1 5QH","Grassroots organisation or community network","0-5 people",,,,,1970-01-01
269,"SYNTHESIS Center for Research and Education",,,,Cyprus,Nicosia,35.1739302,33.364726,"Hub Nicosia, Tagmatarchi Pouliou 33,
1101","Academia/Research organisation",,,,,,1970-01-01
707,"T.V.T. Toulon Var Technologies",,,,,,,,",
",,,,,,,1970-01-01
1091,TAGES,,,,Turkey,Istanbul,41.0096334,28.9651646,"Sumer Korusu Yeni Camlik Evleri 3 Tarabya,
34457","For-profit business","0-5 people",,134,,,1970-01-01
832,"Tal Co.",,,,"United Kingdom",London,51.5073219,-0.1276473,"Kingston Street, 201 Avenue,
","For-profit business","11-25 people",,"216, 308, 399, 474",,,1970-01-01
1013,"Talent Garden",,,,,,,,"Via Merano 16,
","Grassroots organisation or community network","11-25 people",,444,,,1970-01-01
1146,"Tallinn University",,,,Estonia,tallinn,59.4372155,24.7453688,"Narva raod 25,
10120","Academia/Research organisation","11-25 people",,,,,1970-01-01
45,"Tameside Council",,,,"United Kingdom",Ashton-under-Lyne,53.4854941,-2.1120848,"Wellington Road,
OL6 6DL",,,,,,,1970-01-01
948,Tapazz,,,,Belgium,Antwerp,51.2211097,4.3997081,"Paardenmarkt 111,
2000","Grassroots organisation or community network","0-5 people",,82,,,1970-01-01
1015,TaxiTastic,,,,"United Kingdom",Manchester,53.4791301,-2.2441008,"10 Kingsway,
m24 1ls","For-profit business","6-10 people",,716,,,1970-01-01
421,"Teach First",,,,,,,,",
",,,,,,,1970-01-01
109,"Tech Britain",,,,"United Kingdom",Manchester,53.4791301,-2.2441008,"77 Dale Street,
M1 2HG","Social enterprise, charity, foundation or other non-profit","6-10 people",,156,,,1970-01-01
455,"Technical University of Catalonia",,,,Spain,Barcelona,41.3825596,2.1771353,"Jordi Girona, 31,
8034","Academia/Research organisation","over-1000 people",,,,,1970-01-01
827,"Technological Education Institute of Piraeus (Dept of Electronics Engineering)",,,,Greece,Egaleo,37.9915665,23.6818754,"Petrou Ralli & Thivon 250 str,
12244","Academia/Research organisation","26-50 people",,,,,1970-01-01
1237,"Technology Trust",https://www.technology-trust.org/,,"<p>Technology Trust&rsquo;s mission is to help good causes use technology to achieve even more - for less money.</p>
<p>We can help your charity, social enterprise or non-profit access the <a href=""https://www.technology-trust.org/tt-exchange/"">donated software</a>, <a href=""https://www.technology-trust.org/tt-mail/"">email marketing</a> and other digital services that are right for you, giving you the support you need to fulfil your potential.</p>","United Kingdom",London,51.5073219,-0.1276473,,"Social enterprise, charity, foundation or other non-profit","11-25 people",2001-01-01,,"it donations, tech, tech for good","netsquared, techsoup, TechSoup Europe, TechSoup Global Network",2017-01-31
583,"TechSoup Europe",,,,Poland,Warszawa,52.2319237,21.0067265,"Al. Ujazdowskie,
00-540","Social enterprise, charity, foundation or other non-profit","11-25 people",,"304, 473, 787",,,1970-01-01
1156,"TechSoup France - ADB Solidatech",,,,France,"Le Pin",46.4691036,3.8737554,"La Boujaliere,
79140",,,,,,,1970-01-01
125,Tecnalia,,,,,,,,",
",,,,,,,1970-01-01
299,"Tecnalia Research & Innovation",,,,Spain,Derio,43.2916949,-2.885882," Geldo 700, Parque Tecnologico Bizkaia,
48160","Academia/Research organisation","over-1000 people",,537,,,1970-01-01
814,"Tecnologie Democratiche",,,,Italy,Chiusi,43.0160467,11.947524,"Loc Petriolino,
53043","Social enterprise, charity, foundation or other non-profit","6-10 people",,615,,,1970-01-01
900,"Telecentre Danmark",,,,Denmark,Hellerup,55.7336657,12.5655408,"Strandvejen 90,
2900","Grassroots organisation or community network","0-5 people",,486,,,1970-01-01
1240,"Tenshi Consulting Ltd",http://www.tenshi.co.uk,"Empowering the Social Innovation Economy through open innovation and digital technology",,"United Kingdom",London,51.5073219,-0.1276473,,"For-profit business","11-25 people",2015-04-06,,"Accelerator, Challenge, Design Thinking, Digital, digital innovation, Incubator, Innovation, open innovation, Pilot, Preprocurement trial",,2017-02-06
85,Tenzing,,,,Spain,Bilbao,43.2629489,-2.9349458,"Ugasko Bidea 1,
48014",,,,673,,,1970-01-01
1153,"Teplitsa of Social Technologies",,,,"Russian Federation",Moscow,55.7506828,37.6174976,"8,
127006","Social enterprise, charity, foundation or other non-profit","11-25 people",,,,,1970-01-01
351,"Teran Foundation",,,,,,,,",
",,,,,,,1970-01-01
1107,"Terragon Co-creation Solutions",,,,Netherlands,Amsterdam,52.3745403,4.8979755,"Osdorperweg 665,
1067SV","For-profit business","11-25 people",,325,,,1970-01-01
1236,test,,,,,,,,,,,,,,,2017-01-27
268,Tevere,,,,Italy,ROME,41.8523337,12.6308542,"Via Filolao 3,
124","Grassroots organisation or community network","0-5 people",,70,,,1970-01-01
219,"The Alinker Europe BV",,,,Netherlands,Breda,51.5644477,4.7512297,"Rembrandt Straat 16,
4812 AH","For-profit business","0-5 people",,316,,,1970-01-01
686,"The ASI",,,,"United Kingdom",London,51.5073219,-0.1276473,"East Poultry Avenue,
Ec1a 9pt","For-profit business","0-5 people",,,,,1970-01-01
1125,"The Centre for Internet and Society",,,,India,Bangalore,12.9791198,77.5912997,"197No. 194, 2nd C Cross, Domlur, 2nd Stage,
5600 71","Academia/Research organisation","11-25 people",,,,,1970-01-01
29,"The Changer",,,,Germany,Berlin,52.5170365,13.3888599,"Kurfurstenstr. 141,
10785","Social enterprise, charity, foundation or other non-profit","0-5 people",,,,,1970-01-01
277,"The Climate Connected Benefit Society",,,,"United Kingdom",London,51.5073219,-0.1276473,"30 Park Row,
SE10 9LS","Social enterprise, charity, foundation or other non-profit","0-5 people",,,,,1970-01-01
936,"The Creative coop",,,,,,,,",
",,,,,,,1970-01-01
489,"The Democratic Society",,,,"United Kingdom",Brighton,50.8220399,-0.137406,"39-42 East Street,
BN1 1HW","Social enterprise, charity, foundation or other non-profit","0-5 people",,,,,1970-01-01
654,"The Food Assembly",,,,France,Paris,48.8566101,2.3514992,"208 rue Saint Maur,
75010","For-profit business","26-50 people",,88,,,1970-01-01
788,"The Foundation",,,,"United Kingdom",London,51.5073219,-0.1276473,"46a Rosebery Avenue,
","Social enterprise, charity, foundation or other non-profit","0-5 people",,299,,,1970-01-01
1202,"The Fourth Group",https://www.fourth.group,"We are a global community of over 1,000 people working together to create a new politics in the context of the fourth industrial revolution","<p><strong><iframe src=""//player.vimeo.com/video/183638057?title=0&amp;amp;byline=0"" width=""425"" height=""350"" allowfullscreen=""allowfullscreen""></iframe></strong></p>
<p><strong>We are a global community of over 1,000 people working together to create a new politics in the context of the fourth industrial revolution.</strong></p>
<p>Our world is changing. We are now at the cusp of <a href=""https://www.youtube.com/watch?v=SCGV1tNBoeU""><u>the fourth industrial revolution</u></a>, a new stage of global progress driven by exponential technological advancements. The revolution is shifting the way we live, work, and play. It is expanding our understanding of what is possible.</p>
<p><a href=""http://www.economist.com/news/briefing/21650526-artificial-intelligence-scares-peopleexcessively-so-rise-machines""><u>Artificial intelligence</u></a>, <a href=""http://www.zdnet.com/article/mobile-technology-the-amazing-impact-on-our-lives/""><u>mobile technologies</u></a>, <a href=""http://www.bbc.co.uk/news/business-26383058""><u>big data</u></a>, the <a href=""http://www.wired.com/insights/2014/11/the-internet-of-things-bigger/""><u>Internet of Things</u></a>, <a href=""https://www.youtube.com/watch?v=5Z3Py_uUH6k""><u>mixed reality</u></a>, and cyber-physical systems are all fundamentally reshaping society and the global economy. This brings many challenges and opportunities. The world can be more open, fairer, and more prosperous, but it could also become more unequal and exclusionary.</p>
<p>Throughout history, each age and every industrial revolution has generated new power structures, classes, and political thought. Given the state of politics today, we believe that there is an urgent need for a new politics in the context of the age of the fourth industrial revolution, that there is a need to transcend traditional political ideologies, and think beyond old ways.</p>
<p>We want to ensure that our political systems, institutions, traditions, philosophies, and people are adapting to these changes, and make use of exponential technological advancements to improve the state of the world.</p>","United Kingdom",London,51.5073219,-0.1276473,,"Grassroots organisation or community network","over-1000 people",2016-07-27,,,,2016-11-17
927,"The Good Data Cooperative Ltd",,,,"United Kingdom",London,51.5073219,-0.1276473,"82 Clerkenwell Road,
EC1M 5RF","For-profit business","0-5 people",,348,,,1970-01-01
133,"The Good Life For All CIC",,,,"United Kingdom",Brighton,50.8220399,-0.137406,"1 Denmark Terrace,
BN13AN","Social enterprise, charity, foundation or other non-profit","0-5 people",,33,,,1970-01-01
934,"The Happy Startup School",,,,"United Kingdom",Brighton,50.8220399,-0.137406,"10 Orange Row,
BN1 1UQ","Grassroots organisation or community network","0-5 people",,545,,,1970-01-01
190,"the HONGKONG Polytechnic University",,,,"Hong Kong",Hongkong,22.2793278,114.1628131,"HONGHAM,
999077","Academia/Research organisation","0-5 people",,153,,,1970-01-01
920,"The Impactory",,,,Luxembourg,LUXEMBOURG,49.8158683,6.1296751,"29 Blvd Grande Duchesse Charlotte,
1331","Social enterprise, charity, foundation or other non-profit","0-5 people",,,,,1970-01-01
1072,"The Jagiellonian Club",,,,Poland,Cracow,50.0606742,19.9371393,"Rynek Gowny 34,
31-010","Academia/Research organisation","11-25 people",,,,,1970-01-01
605,"The mean is nothing to lose",,,,Mexico,GUANAJUATO,21,-100.9999999,"SAN JOSE DE BURRAS NO. 22, LAS TERESAS,
36250","Grassroots organisation or community network","0-5 people",,,,,1970-01-01
730,"the medical search",,,,"United Kingdom",Birmingham,52.4776875,-1.8948515,"120 Vyse Street,
B18 6NF","For-profit business","0-5 people",,709,,,1970-01-01
178,"The Melting Pot",,,,"United Kingdom",Edinburgh,55.9495628,-3.1914971,"5 Rose Street,
EH2 2PR","Social enterprise, charity, foundation or other non-profit","0-5 people",,"99, 674",,,1970-01-01
639,"The Nerve Centre",,,,"United Kingdom",Derry,54.9919421,-7.3168009,"Magazine Street,
BT486HJ","Social enterprise, charity, foundation or other non-profit","26-50 people",,"236, 465",,,1970-01-01
136,"The Next Billion",,,,Norway,Oslo,59.9132694,10.7391112,"Gaustadalleen 21C,
349","For-profit business","0-5 people",,,,,1970-01-01
470,"the NGO Poznan Centre",,,,Poland,POZNAN,52.4082663,16.9335199,"1,
60-758","Social enterprise, charity, foundation or other non-profit","0-5 people",,,,,1970-01-01
976,"The Open University, Knowledge Media Institute",,,,"United Kingdom","Milton Keynes",52.0429797,-0.7589606,"Walton Hall,
MK76AA",,,,,,,1970-01-01
667,"The Social Coin",,,,Spain,Campins,41.7250261,2.4640701,"n,
8340","For-profit business","6-10 people",,191,,,1970-01-01
1227,"The Talent Bank",http://thetbank.com/,"An online community of creative people","<p>We provide an online platform for people to share all the creative things they have been working on and to connect and share ideas with others.</p>","United Kingdom",London,51.5073219,-0.1276473,,"Social enterprise, charity, foundation or other non-profit","0-5 people",2015-01-01,,"art, film, music, photography, poetry, writing",,2017-01-11
1219,"The Things Network",https://www.thethingsnetwork.org/,,,,,,,,"Grassroots organisation or community network",,,811,"crowdsource, internet of things, iot, LoRa, LoRaWAN","internet of things, architecture",2016-12-21
484,"The Unit for Social Innovation and Research  Shipyard",,,,Poland,Warszawa,52.2319237,21.0067265,"ul. Bracka 20B,
",,,,304,,,1970-01-01
878,"The Volunteer Centre Blackpool, Wyre and Fylde",,,,"United Kingdom",Blackpool,53.8245483,-3.0373199,"West Park Drive,
FY3 9EQ","Social enterprise, charity, foundation or other non-profit","11-25 people",,125,,,1970-01-01
669,"The WikiRate Project",,,,Germany,Berlin,52.5170365,13.3888599,"Brunnenstrasse 37,
10115","Grassroots organisation or community network","0-5 people",,"412, 428",,,1970-01-01
1143,"The Young Foundation",,,,"United Kingdom",London,51.5073219,-0.1276473,"18 Victoria Park Square,
E2 9PF",,,,790,,,1970-01-01
1234,"Things Manchester",http://thingsmanchester.org.uk,,,,,,,,"Grassroots organisation or community network",,,,"Commons based infrastructure, Crowdsourced community initiative, internet of things, public infrastructure","internet of things, architecture, open data manchester, things network",2017-01-25
335,"Think Commons",,,,Spain,Madrid,40.4167047,-3.7035824,"Plaza Doctor Laguna,1,
28009","Academia/Research organisation","0-5 people",,495,,,1970-01-01
964,Thoughtful,,,,"United Kingdom",London,51.5073219,-0.1276473,"Old St,
EC1","For-profit business","0-5 people",,177,,,1970-01-01
1047,"ThoughtOut Project",,,,"United Kingdom",Norwich,52.628606,1.29227,"University of East Anglia,
NR4 7TJ","Academia/Research organisation","0-5 people",,,,,1970-01-01
1057,"Tiles & Architectural Ceramics Society (TACS)",,,,"United Kingdom",Stoke-On-Trent,53.0162014,-2.1812606,"Bethesda Street,
ST13 DW","Grassroots organisation or community network","0-5 people",,,,,1970-01-01
1115,Time2Trace,,,,Belgium,Mechelen,51.0281381,4.4803453,"Hanswijkstraat 6 b1,
2800","For-profit business","0-5 people",,,,,1970-01-01
560,Timelab,,,,,,,,",
",,,,,,,1970-01-01
243,"Tinder Foundation",,,,"United Kingdom",Sheffield,53.3806626,-1.4702277,"15 Paternoster Row,
S1 2BX","Social enterprise, charity, foundation or other non-profit","26-50 people",,290,,,1970-01-01
1244,"Tinkerers Lab",http://www.tinkerersfablab.tech/,,"<p style=""text-align: justify;"">Digital Fabrication laboratory specialized in areas of science and technology, members of the network of Fab Labs of the CBA-MIT and enrolled in the European Space Agency BIC Barcelona. We combine different technologies with Digital Fabrication such Space Technology, to create and implement innovative projects in areas of Smart Cities and Internet of Things.</p>
<p style=""text-align: justify;"">As a platform for R&amp;D&amp;I, we connect new technologies with students and young entrepreneurs, to give them an opportunity through new technologies.</p>
<p style=""text-align: justify;"">Our main motto is ""what serves what we know if we do not share it"". We work sharing our knowledge with the&nbsp;community&nbsp;through Social Fab Labs program, and especially through our project&nbsp;""Development of new professional skills through Digital Fabrication&rdquo;, addressed to social exclusion groups and demotivated students. We give them the opportunity to grow personally and professionally through science and these technologies.</p>
<p>&nbsp;</p>
<p><iframe src=""//player.vimeo.com/video/192816820?title=0&amp;amp;byline=0"" width=""425"" height=""350"" allowfullscreen=""allowfullscreen""></iframe></p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p><img src=""https://s30.postimg.org/x7woa4fap/Tinkerers_Fab_Lab_1.jpg"" alt=""Social Fab Labs Workshops"" width=""249"" height=""332"" />&nbsp;<img src=""https://s30.postimg.org/khyykx7up/Tinkerers_Fab_Lab_15.jpg"" alt=""Social Fab Labs Workdshops"" width=""431"" height=""242"" /></p>
<p><img src=""https://s23.postimg.org/uf86w08zv/Tinkerers_Fab_Lab_54.jpg"" alt=""Social Fab Labs Workshops"" width=""250"" height=""333"" />&nbsp;<img src=""https://s24.postimg.org/467p9s9ed/Tinkerers_Fab_Lab_8.jpg"" alt=""Social Fab Labs Workshops"" width=""438"" height=""246"" /></p>
<p><img src=""https://s30.postimg.org/q9bipku8x/IMG_9854.jpg"" alt=""Social Fab Labs Workshops"" width=""486"" height=""324"" /></p>
<p><img src=""https://s27.postimg.org/3xmmea3b7/IMG_8875.jpg"" alt=""Social Fab Labs Workshops"" width=""485"" height=""323"" /></p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;</p>",Spain,Castelldefels,41.2861022,1.9824173,,"Grassroots organisation or community network","0-5 people",2015-09-22,"1, 116, 318, 369","3dprint, digital fabrication, Digital Social Innovation, education, fablab, Innovation, interdisciplinarity, research center","FabLab Network",2017-02-10
603,"Tiree Tech Wave",,,,"United Kingdom",Tiree,56.498356,-6.8935355,"o Alan Dix, 11 Struthan Terrace, Crossapol,
PA77 6UR","Grassroots organisation or community network","0-5 people",,351,,,1970-01-01
1118,"tlapan conseil et creation",,,,France,Anglet,43.4813927,-1.5149934,"31 rue henri reneric,
64600","For-profit business","0-5 people",,,,,1970-01-01
134,TNO,,,,Netherlands,Hoofddorp,52.3005585,4.6753206,"Polarisavenue,
2132 JJ",,,,226,,,1970-01-01
765,"To SET OUT",,,,Spain,"Sant Boi Llobregat",41.3482671,2.0435296,"Vidua Vives,
8830","For-profit business","0-5 people",,579,,,1970-01-01
550,"TOP-IX Consortium",,,,Italy,Turin,45.0677551,7.6824892,"Via Conte Giambattista Bogino, 9,
10123","For-profit business","11-25 people",,307,,,1970-01-01
1116,"Toromorrow Lab",,,,Belgium,Vilvoorde,50.9280713,4.432404,"Indringingsweg 1,
1800","For-profit business","51-100 people",,,,,1970-01-01
390,touscoprod,,,,France,Paris,48.8566101,2.3514992,"17 RUE LANTIEZ,
75017","For-profit business","6-10 people",,710,,,1970-01-01
291,"Trafford MBC",,,,"United Kingdom",Trafford,53.4189014,-2.3594695,"Talbot Road,
M32 0TH","Government/Public Sector","over-1000 people",,"159, 241, 459",,,1970-01-01
248,"Transformative Connections",,,,"United Kingdom",Belfast,54.5969869,-5.9300991,"Northern Ireland Science Park, The Innovation Centre, Queens Rd, Queens Island,
BT3 9DT","For-profit business","0-5 people",,,,,1970-01-01
766,Transformify,,,,"United Kingdom",London,51.5073219,-0.1276473,"Level 3, 207 Regent Street,
W1B 3HH","For-profit business","11-25 people",,607,,,1970-01-01
857,"Transition Stroud, Splatsoft, Satori creative",,,,,,,,",
",,,,,,,1970-01-01
1172,"Transparency International Slovensko",,,,,,,,",
",,,,,,,1970-01-01
77,"Trentino as a Lab",,,,Italy,Trento,46.0664228,11.1257601,"via Giuseppe Gilli, 2,
38121","Grassroots organisation or community network",,,,,,1970-01-01
616,"Trento Rise",,,,,,,,",
",,,,336,,,1970-01-01
896,"TRIBU INNOVACION",,,,Ecuador,QUITO,-0.220164,-78.5123273,"BRASIL 951,
223","For-profit business","0-5 people",,,,,1970-01-01
584,"Tunisie Bondy Blog",,,,Tunisia,Gafsa,34.425149,8.786218,"el Maraya el Mwalla 2,
2100","Grassroots organisation or community network","6-10 people",,56,,,1970-01-01
757,TVCOM,,,,Belgium,Ottignies,50.666357,4.5690502,"Rue de la Station, 10,
","Grassroots organisation or community network","26-50 people",,147,,,1970-01-01
372,"U-Hopper srl",,,,Italy,Trento,46.0664228,11.1257601,"2,
38123","For-profit business","6-10 people",,402,,,1970-01-01
206,UCL,,,,"United Kingdom",London,51.5073219,-0.1276473,"Gower Street,
",,,,,,,1970-01-01
84,UFO,,,,France,Montreuil,50.463745,1.7642283,"2 rue Marcelin Berthelot,
93100","For-profit business","6-10 people",,521,,,1970-01-01
624,"UG Zasto ne",,,,,,,,",
",,,,,,,1970-01-01
25,"UK Health Forum",,,,"United Kingdom",London,51.5073219,-0.1276473,"Fleetbank House, Salisbury Square,
","Social enterprise, charity, foundation or other non-profit","11-25 people",,"105, 135, 506, 657",,,1970-01-01
118,UKFast,,,,,,,,",
",,,,,,,1970-01-01
532,UKIDCP,,,,"United Kingdom",Oxford,51.7520131,-1.2578498,"1 McCabe Place,
OX3 0LQ","Social enterprise, charity, foundation or other non-profit","0-5 people",,,,,1970-01-01
399,Ulule,,,,France,Paris,48.8566101,2.3514992,"8 rue saint-fiacre,
75002","For-profit business","11-25 people",,,,,1970-01-01
682,"Umea Institute of Design",,,,Sweden,Umea,63.8256568,20.2630745,"Ostra Strandgatan 28 A,
SE-903 33","Academia/Research organisation","26-50 people",,119,,,1970-01-01
597,UNDP,,,,Albania,Tirana,41.3279457,19.8185323,"Skenderbej, Gurten Building,
1000","Government/Public Sector","26-50 people",,"19, 563",,,1970-01-01
1141,"UNDP Action for Cooperation and Trust",,,,Cyprus,Nicosia,35.1739302,33.364726,"P.O Box 21642,1590 Nicosia, Cyprus,
","Grassroots organisation or community network","0-5 people",,517,,,1970-01-01
371,"Unimundal Collective",,,,"United Kingdom",London,51.5073219,-0.1276473,"30 Haymarket,
SW1 4EX",,,,176,,,1970-01-01
692,"Universidad Complutense de Madrid",,,,Spain,Madrid,40.4167047,-3.7035824,"N,
",,,,807,,,1970-01-01
132,"Universidad Politecnica de Madrid",,,,,,,,",
",,,,807,,,1970-01-01
1033,"Universita Bocconi",,,,Italy,Milano,45.4667971,9.1904984,"via sarfatti 25,
",,,,,,,1970-01-01
942,"Universita degli Studi di Genova",,,,Italy,Genova,44.40726,8.9338624,"Via all'Opera Pia,
",,,,,,,1970-01-01
346,"Universitat Pompeu Fabra",,,,Spain,Barcelona,41.3825596,2.1771353,"Tanger 122,
8018","Academia/Research organisation","over-1000 people",,,,,1970-01-01
1157,"Universite de Technologie de Troyes",,,,France,TROYES,48.2971626,4.0746257,"12 rue Marie Curie CS 42060,
10004","Academia/Research organisation","101-500 people",,,,,1970-01-01
973,"University Carlos III Madrid",,,,Spain,Leganes,40.3281942,-3.7652699,"Avda. de la Universidad 30,
28922",,,,,,,1970-01-01
941,"University of Augsburg, Medienlabor",,,,Germany,Augsburg,48.3668041,10.8986971,"Universitatsstrae 10,
86159","Academia/Research organisation","11-25 people",,57,,,1970-01-01
774,"University of California Berkeley",,,,,,,,",
",,,,,,,1970-01-01
221,"University of Dundee",,,,"United Kingdom",Dundee,56.4593653,-2.9735212,"Nethergate,
DD1 4HN","Academia/Research organisation",,,745,,,1970-01-01
